amc_id,firm_name,legal_name,clean_name,base_domain,sitemap_url,sitemap_type,sitemap_verified
54,Navi Mutual Fund,Navi AMC Limited,Navi,navimutualfund.com,https://navimutualfund.com/sitemap.xml,xml,False
55,Motilal Oswal Mutual Fund,Motilal Oswal Asset Management Company Limited,Motilal Oswal,motilaloswalmf.com,https://www.motilaloswalmf.com/sitemap.xml,xml,True
58,PGIM India Mutual Fund,PGIM India Asset Management Private Limite,PGIM India,pgimindiamf.com,https://www.pgimindia.com/sitemap.xml,xml,True
61,Union Mutual Fund,Union Asset Management Company Private Limited,Union,unionmf.com,https://unionmf.com/sitemap.xml,xml,False
62,360 ONE Mutual Fund,360 ONE Asset Management Limited,360 ONE,360.one,https://www.360.one/sitemap.xml,xml,True
63,Groww Mutual Fund,Groww Asset Management Limited,Groww,growwmf.in,https://www.growwmf.in/sitemap.xml,xml,True
64,PPFAS Mutual Fund,PPFAS Asset Management Pvt. Ltd.,PPFAS,amc.ppfas.com,https://amc.ppfas.com/sitemap.xml,xml,True
65,IL\u0026FS Mutual Fund (IDF),IL\u0026FS Infra Asset Management Limited,IL\u0026FS Mutual Fund (IDF),ilfsinfrafund.com,https://ilfsinfrafund.com/sitemap.xml,xml,False
67,Shriram Mutual Fund,Shriram Asset Management Co. Ltd.,Shriram,shriramamc.in,http://www.shriramamc.in/sitemap.xml,xml,True
69,Mahindra Manulife Mutual Fund,Mahindra Manulife Investment Management Pvt Ltd,Mahindra Manulife,mahindramanulife.com,https://www.mahindramanulife.com/sitemap.xml,xml,True
70,ITI Mutual Fund,ITI Asset Management Limited,ITI,itiamc.com,https://www.itiamc.com/sitemap-index.xml,xml,True
71,WhiteOak Capital Mutual Fund,WhiteOak Capital Asset Management Limited,WhiteOak Capital,mf.whiteoakamc.com,https://mf.whiteoakamc.com/sitemap.xml,xml,True
72,Trust Mutual Fund,Trust Asset Management Private Limited,Trust,trustmf.com,https://www.trustmf.com/sitemap.xml,xml,True
73,NJ Mutual Fund,NJ Asset Management Private Limited,NJ,njmutualfund.com,https://www.njmutualfund.com/sitemap.xml,xml,True
74,Samco Mutual Fund,Samco Asset Management Private Limited,Samco,samcomf.com,https://www.samcomf.com/sitemap.xml,xml,True
75,Bajaj Finserv Mutual Fund,Bajaj Finserv Asset Management Limited,Bajaj Finserv,bajajamc.com,https://www.bajajamc.com/sitemap_index.xml,xml,True
76,Helios Mutual Fund,Helios Capital Asset Management (India) Pvt. Ltd.,Helios,heliosmf.in,https://www.heliosmf.in/sitemap.xml,xml,True
77,Zerodha Mutual Fund,Zerodha Asset Management Private Limited,Zerodha,zerodhafundhouse.com,https://www.zerodhafundhouse.com/sitemap.xml,xml,True
78,Old Bridge Mutual Fund,Old Bridge Asset Management Private Limited,Old Bridge,oldbridgemf.com,https://www.oldbridgemf.com/sitemap.xml,xml,True
79,Unifi Mutual Fund,Unifi Asset Management Private Limited,Unifi,unifimf.com,https://unifimf.com/sitemap.xml,xml,False
80,Angel One Mutual Fund,Angel One Asset Management Company Limited,Angel One,angelonemf.com,https://www.angelonemf.com/sitemap.xml,xml,True
81,Capitalmind Mutual Fund,Capitalmind Asset Management Private Limited,Capitalmind,capitalmindmf.com,https://capitalmindmf.com/sitemap.xml,xml,True
82,Jio BlackRock Mutual Fund,Jio BlackRock Asset Management Private Limited,Jio BlackRock,jioblackrockamc.com,https://www.jioblackrockamc.com/sitemap.xml,xml,True
83,The Wealth Company Mutual Fund,Wealth Company Asset Management Holdings Private Limited,The Wealth Company,wealthcompanyamc.in,https://wealthcompanyamc.in/sitemap.xml,xml,False
84,Choice Mutual Fund,Choice AMC Private Limited,Choice,choicemf.com,https://choicemf.com/sitemap.xml,xml,True
85,Abakkus Mutual Fund,Abakkus Investment Managers Private Limited,Abakkus,abakkusmf.com,https://www.abakkusmf.com/sitemap.xml,xml,True
86,AlphaGrep Mutual Fund,AlphaGrep Investment Management Private Limited,AlphaGrep,alphagrepmf.ai,https://alphagrepmf.ai/sitemap.xml,xml,False
87,ASK MUTUAL FUND,ASK ASSET MANAGEMENT PRIVATE LIMITED,ASK,www.askmf.com,https://www.askmf.com/sitemap.xml,xml,False
88,Lakshya Mutual Fund,Lakshya Asset Management Private Limited,Lakshya,www.lakshyamf.com,https://www.lakshyamf.com/sitemap.xml,xml,False
89,Monarch Mutual Fund,Monarch Networth Asset Management Private Limited,Monarch,monarchamc.in,https://monarchamc.in/sitemap.xml,xml,True
90,Nuvama Mutual Fund,Nuvama Asset Management Limited,Nuvama,www.nuvamamf.com,https://www.nuvamamf.com/sitemap.xml,xml,False
